long,lat
5.94063,43.1219
6.87465,43.4272
2.18801,48.94602
2.76592,48.38531
1.11027,49.40515
6.1329833,45.895711
4.8472255,46.3530667
7.255268,47.887874
7.3252817,47.7615579
7.358572,48.086966
2.8901,42.71838
2.90172,42.70541
-1.74485,43.3336
-0.39492,43.30138
-1.56519,43.46242
-1.556207,43.473596
3.1400257,45.8383617
3.0538827,45.7552451
1.61101,50.50808
2.76971,50.41228
2.48082,50.50773
3.1622,47.001
6.1058,49.31802
7.056,48.73
-3.39092,47.72298
4.0382688,49.2256821
-1.59875,49.63304
-0.51476,47.45277
0.63386,44.19005
55.45219,-20.88931
-52.3252845,4.9009316
-52.3265306,4.9396453
-52.3304129,4.9357147
4.87903,45.72971
4.85239,45.75915
-61.0006,14.61273
-61.0729,14.6073
4.7899,45.77216
-61.5175,16.2184
8.7387437,41.9286403
2.381103,48.711754
1.23806,45.82673
1.2823846,45.8282127
1.24828,45.83805
5.9208,43.12779
2.27264,49.85309
-0.47284,46.33489
2.6505,48.83072
0.99607,49.36202
0.12919,49.49081
4.3643868,46.6751136
4.837493,46.3093916
4.9085753,45.7508239
4.91054,45.7357
4.71506,45.99293
7.74641,48.58695
-0.045558,43.098396
-1.48262,43.51433
3.14676,45.79814
2.663,50.48045
2.53815,50.47508
3.07338,50.42068
2.8816,50.68962
-3.35966,47.74753
-1.61725,49.62639
-0.07415,47.2634
0.62059,44.20443
-1.554,47.20153
-1.5384,47.22401
4.078701,45.601852
5.7531,45.1876
5.27293,45.58508
0.6651744,47.3756527
3.691147,43.406333
3.89481,43.60397
-0.57496,44.8449
-1.15919,44.63216
0.5888,43.6433
1.44956,43.63175
1.45228,43.57293
1.45114,43.57606
-4.5062023,48.4048867
1.17937,49.21991
1.19505,49.20476
1.1706,49.2116
-2.7617371,48.4932334
-0.966563,45.938478
-0.36176,49.18437
5.2291,43.4214
5.381029,43.297779
3.006126,43.181267
7.307123,43.701752
2.5381171,46.3561112
2.394569,48.896328
2.407685,48.863754
2.38523,48.901896
2.390648,48.888142
2.359963,48.890812
2.274273,48.871242
2.273674,48.870869
2.340725,48.81982
2.322558,48.836417
2.322666,48.829298
2.370109,48.863765
2.371399,48.863039
2.349877,48.883193
2.296874,48.876299
2.45994,48.7353
2.4337,48.7962
2.36275,48.8083
2.35436,48.79491
2.3831518,48.9559483
2.51287,48.88296
2.5134154,48.8837638
2.4704077,48.8868338
2.53225,48.88351
2.4467884,48.8700675
2.4325,48.8967
2.5303775,48.8837007
2.3966484,48.9260937
2.38735,48.93563
2.40783,48.94015
2.2221722,48.8541556
2.2629409,48.8139975
2.294983,48.931043
2.24268,48.82646
2.23665,48.83687
2.276662,48.922624
7.3143201,48.9128918
55.515552,-21.28607
7.367736,47.784982
0.544942,46.530013
6.371555,43.19048
2.321221,50.70395
2.308702,50.943682
7.048352,48.986732
1.232014,43.992691
3.1917563,45.8604469
-0.63622,47.079562
4.2558281,46.1452213
3.395977,43.679387
5.305924,43.930477
0.586905,48.038768
6.331022,44.550719
2.684425,49.281713
2.644272,49.319555
2.814987,49.294996
3.41722,48.460657
4.704579,48.234746
0.002571,45.855386
166.5703317,-20.5556549
1.503088,48.858588
2.862496,42.612454
4.784009,45.013182
4.949109,45.82236
-0.035189,45.676293
2.753341,49.099211
1.650531,50.519586
2.723805,50.644103
5.47194,43.29385
-0.4586,44.953025
2.958167,50.62898
3.094142,50.608483
2.3448208,48.7618376
2.39924,48.63655
2.016029,48.881316
2.17064,48.83449
2.6288041,48.6312605
2.38272,48.76068
2.52511,48.82743
-60.9988403,14.5977318
-61.032663,14.6179767
-61.72109,15.99895
8.74411,41.93373
2.42551,48.70187
2.52166,48.66247
-0.21023,47.008147
1.86257,48.96359
2.05997,48.95198
5.9343626,45.5662059
0.22905,48.00508
