,long,lat
351,6.029869,46.261874
352,55.691636,-21.081621
353,5.62179,45.36212
354,4.834676,45.215331
355,1.209735,45.767987
356,-3.480745,48.064767
357,6.649507,46.092296
358,6.140008,45.866885
359,0.154999,43.348994
360,-0.719374,48.71565
361,2.311588,44.629403
362,1.620741,45.030021
363,1.2051899,43.2371418
364,1.372466,43.793367
365,5.427954,45.398088
366,3.452893,49.982399
367,3.4722953,46.5177851
368,-0.887768,49.23779
369,6.070343,44.675413
370,2.534207,46.547127
371,4.169376,48.284692
372,-0.208288,48.456308
373,5.35769,45.15373
374,166.415989,-22.172706
375,7.719648,48.667355
376,1.311021,43.927015
377,3.270707,43.324085
378,3.104185,49.033581
379,1.990886,48.711268
380,2.87911,42.642416
381,3.693175,43.474835
382,5.385532,43.863395
383,5.356103,47.874504
384,2.720765,46.3680666
385,6.082569,46.14405
386,-1.69311,46.58526
387,-1.53255,47.130126
388,-2.700095,48.127443
389,2.4654327,49.2384282
390,2.645364,49.742028
391,5.2207008,43.3826687
392,4.82052,45.73679
393,-0.63651,44.87446
394,3.1022917,50.5954427
395,2.24154,48.63094
396,2.34629,48.77673
397,2.1757242,48.8351971
398,2.039377,48.864515
399,2.5108,48.96766
400,2.24115,48.98243
401,2.4758,48.87998
402,2.4489179,48.8108627
403,166.44522,-22.29103
404,166.44438,-22.26076
405,55.5365,-21.36
406,4.84584,45.72939
407,4.8704927,45.6909422
408,4.84993,45.74645
409,4.8539,45.7275
410,4.89553,45.70329
411,-61.03613,14.61828
412,4.80715,45.77506
413,4.88098,45.813
414,4.83802,45.76504
415,9.4412556,42.6556214
416,8.7717351,41.9292851
417,8.7440288,41.9336213
418,2.48253,48.70819
419,2.3643,48.6716
420,4.80625,44.13876
421,4.80772,44.13594
422,5.94063,43.1219
423,6.87465,43.4272
424,2.18801,48.94602
425,2.76592,48.38531
426,1.11027,49.40515
427,6.1329833,45.895711
428,4.8472255,46.3530667
429,7.255268,47.887874
430,7.3252817,47.7615579
431,7.358572,48.086966
432,2.8901,42.71838
433,2.90172,42.70541
434,-1.74485,43.3336
435,-0.39492,43.30138
436,-1.56519,43.46242
437,-1.556207,43.473596
438,3.1400257,45.8383617
439,3.0538827,45.7552451
440,1.61101,50.50808
441,2.76971,50.41228
442,2.48082,50.50773
443,3.1622,47.001
444,6.1058,49.31802
445,7.056,48.73
446,-3.39092,47.72298
447,4.0382688,49.2256821
448,-1.59875,49.63304
449,-0.51476,47.45277
450,0.63386,44.19005
451,55.45219,-20.88931
452,-52.3252845,4.9009316
453,-52.3265306,4.9396453
454,-52.3304129,4.9357147
455,4.87903,45.72971
456,4.85239,45.75915
457,-61.0006,14.61273
458,-61.0729,14.6073
459,4.7899,45.77216
460,-61.5175,16.2184
461,8.7387437,41.9286403
462,2.381103,48.711754
463,1.23806,45.82673
464,1.2823846,45.8282127
465,1.24828,45.83805
466,5.9208,43.12779
467,2.27264,49.85309
468,-0.47284,46.33489
469,2.6505,48.83072
470,0.99607,49.36202
471,0.12919,49.49081
472,4.3643868,46.6751136
473,4.837493,46.3093916
474,4.9085753,45.7508239
475,4.91054,45.7357
476,4.71506,45.99293
477,7.74641,48.58695
478,-0.045558,43.098396
479,-1.48262,43.51433
480,3.14676,45.79814
481,2.663,50.48045
482,2.53815,50.47508
483,3.07338,50.42068
484,2.8816,50.68962
485,-3.35966,47.74753
486,-1.61725,49.62639
487,-0.07415,47.2634
488,0.62059,44.20443
489,-1.554,47.20153
490,-1.5384,47.22401
491,4.078701,45.601852
492,5.7531,45.1876
493,5.27293,45.58508
494,0.6651744,47.3756527
495,3.691147,43.406333
496,3.89481,43.60397
497,-0.57496,44.8449
498,-1.15919,44.63216
499,0.5888,43.6433
500,1.44956,43.63175
501,1.45228,43.57293
502,1.45114,43.57606
503,-4.5062023,48.4048867
504,1.17937,49.21991
505,1.19505,49.20476
506,1.1706,49.2116
507,-2.7617371,48.4932334
508,-0.966563,45.938478
509,-0.36176,49.18437
510,5.2291,43.4214
511,5.381029,43.297779
512,3.006126,43.181267
513,7.307123,43.701752
514,2.5381171,46.3561112
515,2.394569,48.896328
516,2.407685,48.863754
517,2.38523,48.901896
518,2.390648,48.888142
519,2.359963,48.890812
520,2.274273,48.871242
521,2.273674,48.870869
522,2.340725,48.81982
523,2.322558,48.836417
524,2.322666,48.829298
525,2.370109,48.863765
526,2.371399,48.863039
527,2.349877,48.883193
528,2.296874,48.876299
529,2.45994,48.7353
530,2.4337,48.7962
531,2.36275,48.8083
532,2.35436,48.79491
533,2.3831518,48.9559483
